"filename", "language", "PHP", "JSON", "JavaScript", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\markdown-fold.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 2, 9, 50
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\fold\xml-fold.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 3, 14, 185
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\anyword-hint.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 2, 5, 42
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\css-hint.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 2, 10, 67
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\html-hint.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 197, 3, 351
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\javascript-hint.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 12, 14, 163
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\show-hint.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 7, 37
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\show-hint.js", "JavaScript", 0, 0, 410, 0, 0, 0, 0, 11, 59, 480
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\sql-hint.js", "JavaScript", 0, 0, 254, 0, 0, 0, 0, 13, 38, 305
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\hint\xml-hint.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 3, 8, 133
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\coffeescript-lint.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 4, 6, 48
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\css-lint.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 4, 6, 41
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\html-lint.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 4, 6, 60
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\javascript-lint.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 4, 8, 64
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\json-lint.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 6, 6, 41
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\lint.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 1, 10, 72
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\lint.js", "JavaScript", 0, 0, 218, 0, 0, 0, 0, 6, 32, 256
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\lint\yaml-lint.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 9, 6, 42
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\merge\merge.css", "CSS", 0, 0, 0, 104, 0, 0, 0, 0, 16, 120
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\merge\merge.js", "JavaScript", 0, 0, 883, 0, 0, 0, 0, 26, 98, 1007
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\mode\loadmode.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 2, 6, 67
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\mode\multiplex.js", "JavaScript", 0, 0, 111, 0, 0, 0, 0, 4, 17, 132
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\mode\multiplex_test.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 2, 7, 34
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\mode\overlay.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 12, 12, 91
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\mode\simple.js", "JavaScript", 0, 0, 197, 0, 0, 0, 0, 2, 18, 217
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\runmode\colorize.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 2, 8, 41
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\runmode\runmode-standalone.js", "JavaScript", 0, 0, 273, 0, 0, 0, 0, 28, 33, 334
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\runmode\runmode.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 7, 6, 77
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\runmode\runmode.node.js", "JavaScript", 0, 0, 272, 0, 0, 0, 0, 27, 31, 330
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\scroll\annotatescrollbar.js", "JavaScript", 0, 0, 111, 0, 0, 0, 0, 2, 16, 129
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\scroll\scrollpastend.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 2, 5, 49
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\scroll\simplescrollbars.css", "CSS", 0, 0, 0, 57, 0, 0, 0, 0, 10, 67
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\scroll\simplescrollbars.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 2, 21, 153
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\search\jump-to-line.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 3, 9, 51
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\search\match-highlighter.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 19, 15, 168
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\search\matchesonscrollbar.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\search\matchesonscrollbar.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 2, 13, 98
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\search\search.js", "JavaScript", 0, 0, 228, 0, 0, 0, 0, 9, 24, 261
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\search\searchcursor.js", "JavaScript", 0, 0, 255, 0, 0, 0, 0, 13, 29, 297
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\selection\active-line.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 2, 7, 73
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\selection\mark-selection.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 7, 16, 120
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\selection\selection-pointer.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 2, 8, 99
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\tern\tern.css", "CSS", 0, 0, 0, 81, 0, 0, 0, 0, 7, 88
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\tern\tern.js", "JavaScript", 0, 0, 578, 0, 0, 0, 0, 55, 87, 720
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\tern\worker.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 3, 8, 45
"c:\xampp\htdocs\pp\assets\plugins\codemirror\addon\wrap\hardwrap.js", "JavaScript", 0, 0, 142, 0, 0, 0, 0, 5, 13, 160
"c:\xampp\htdocs\pp\assets\plugins\codemirror\codemirror.css", "CSS", 0, 0, 0, 285, 0, 0, 0, 23, 43, 351
"c:\xampp\htdocs\pp\assets\plugins\codemirror\codemirror.js", "JavaScript", 0, 0, 7810, 0, 0, 0, 0, 1018, 961, 9789
"c:\xampp\htdocs\pp\assets\plugins\codemirror\keymap\emacs.js", "JavaScript", 0, 0, 352, 0, 0, 0, 0, 8, 60, 420
"c:\xampp\htdocs\pp\assets\plugins\codemirror\keymap\sublime.js", "JavaScript", 0, 0, 652, 0, 0, 0, 0, 7, 56, 715
"c:\xampp\htdocs\pp\assets\plugins\codemirror\keymap\vim.js", "JavaScript", 0, 0, 4824, 0, 0, 0, 0, 689, 203, 5716
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\apl\apl.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 2, 7, 175
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\asciiarmor\asciiarmor.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 2, 5, 75
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\asn.1\asn.1.js", "JavaScript", 0, 0, 186, 0, 0, 0, 0, 4, 15, 205
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\asterisk\asterisk.js", "JavaScript", 0, 0, 185, 0, 0, 0, 0, 25, 11, 221
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\brainfuck\brainfuck.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 16, 3, 86
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\clike\clike.js", "JavaScript", 0, 0, 711, 0, 0, 0, 0, 176, 49, 936
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\clojure\clojure.js", "JavaScript", 0, 0, 254, 0, 0, 0, 0, 6, 33, 293
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\cmake\cmake.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 10, 8, 98
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\cobol\cobol.js", "JavaScript", 0, 0, 240, 0, 0, 0, 0, 10, 6, 256
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\coffeescript\coffeescript.js", "JavaScript", 0, 0, 291, 0, 0, 0, 0, 25, 44, 360
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\commonlisp\commonlisp.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 2, 15, 125
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\crystal\crystal.js", "JavaScript", 0, 0, 347, 0, 0, 0, 0, 20, 67, 434
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\css\css.js", "JavaScript", 0, 0, 797, 0, 0, 0, 0, 8, 59, 864
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\cypher\cypher.js", "JavaScript", 0, 0, 140, 0, 0, 0, 0, 4, 8, 152
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\d\d.js", "JavaScript", 0, 0, 202, 0, 0, 0, 0, 3, 19, 224
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\dart\dart.js", "JavaScript", 0, 0, 142, 0, 0, 0, 0, 8, 17, 167
